rank,player_name_raw,player_name_key,recommendation_season,league,team,source,source_id,model_setup,score,reason_summary,games,minutes,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,points_per_36,usage_proxy,ts_pct,efg_pct,fg_pct,three_pct,ft_pct,field_goal_attempts,three_point_attempts,free_throw_attempts,data_completeness_score,has_prior_cba_experience_before_t,prior_cba_seasons_before_t,prior_cba_last_seen_gap,has_previous_season_record,points_per_36_trend,usage_proxy_trend,ts_pct_trend,minutes_per_game_trend,height,weight,age,birth_year,birth_date,biodata_source,biodata_notes,position,country,last_affiliation,age_at_recommendation_season,official_player_url,official_stats_url,official_search_url,nba_stats_url,euroleague_profile_or_search_url,league_official_search_url,video_search_query,youtube_search_url,google_video_search_url,youtube_highlight_search_url,cba_video_search_query,is_current_recommendation_season,export_scope,input_dataset_used,season,source_id_playerseason,league_playerseason,nba_player_id,birthdate,school,season_exp,rosterstatus,biodata_match_confidence,biodata_match_method,cache_status,cached_at
11,Mac McClung,macmcclung,2024-2025,G League,OSC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.443449435634954,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,32.7,,,,,,,28.29357798165137,0.7011620795107033,0.659,,,,,,,,1.0,0,0,,1,2.157984761312388,0.0496366557818898,0.01,-2.699999999999996,6-2,185.0,,,,nba_api,,Guard,USA,Texas Tech/USA,25,https://www.nba.com/stats/player/1630644,https://www.nba.com/stats/player/1630644,https://www.google.com/search?q=%22Mac+McClung%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1630644,,https://www.google.com/search?q=%22Mac+McClung%22+%22G+League%22+official+basketball+stats,Mac McClung G League basketball highlights,https://www.youtube.com/results?search_query=Mac+McClung+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Mac+McClung+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Mac+McClung+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2021-2022,gleague_nba_api,G League,1630644.0,1999-01-06T00:00:00,Texas Tech,3.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:58.338067+00:00
12,Bones Hyland,boneshyland,2024-2025,G League,IWA,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4241795724459894,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,40.8,,,,,,,29.558823529411768,0.6245098039215686,0.684,,,,,,,,1.0,0,0,,0,,,,,6-2,169.0,,,,nba_api,,Guard,USA,Virginia Commonwealth/USA,24,https://www.nba.com/stats/player/1630538,https://www.nba.com/stats/player/1630538,https://www.google.com/search?q=%22Bones+Hyland%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1630538,,https://www.google.com/search?q=%22Bones+Hyland%22+%22G+League%22+official+basketball+stats,Bones Hyland G League basketball highlights,https://www.youtube.com/results?search_query=Bones+Hyland+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Bones+Hyland+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Bones+Hyland+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1630538.0,2000-09-14T00:00:00,Virginia Commonwealth,4.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:33:59.252099+00:00
13,Jordan Miller,jordanmiller,2024-2025,G League,SDC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4118877806204049,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,31.4,,,,,,,28.08917197452229,0.6369426751592359,0.699,,,,,,,,1.0,0,0,,1,1.3564987071955592,0.0117281537070905,0.0489999999999999,1.099999999999998,6-5,194.0,,,,nba_api,,Guard,USA,Miami/USA,24,https://www.nba.com/stats/player/1641757,https://www.nba.com/stats/player/1641757,https://www.google.com/search?q=%22Jordan+Miller%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641757,,https://www.google.com/search?q=%22Jordan+Miller%22+%22G+League%22+official+basketball+stats,Jordan Miller G League basketball highlights,https://www.youtube.com/results?search_query=Jordan+Miller+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jordan+Miller+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Jordan+Miller+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2023-2024,gleague_nba_api,G League,1641757.0,2000-01-23T00:00:00,Miami,2.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:00.085476+00:00
14,Brandon Williams,brandonwilliams,2024-2025,G League,TEX,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4107963530538004,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,40.4,,,,,,,27.17821782178218,0.6826732673267326,0.707,,,,,,,,1.0,0,0,,1,-1.0217821782178191,-0.032882288228823,0.1059999999999999,4.399999999999999,,,,,,nba_api,,,,,,,,https://www.google.com/search?q=site%3Anba.com%2Fstats+%22Brandon+Williams%22+basketball,,,https://www.google.com/search?q=site%3Anba.com%2Fstats+%22Brandon+Williams%22+basketball,Brandon Williams G League basketball highlights,https://www.youtube.com/results?search_query=Brandon+Williams+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Brandon+Williams+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Brandon+Williams+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2021-2022,gleague_nba_api,G League,,,,,,low,nba_static_players_name_key,no_confident_unique_match,2026-06-03T12:34:00.928714+00:00
15,Devin Carter,devincarter,2024-2025,G League,STO,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4067771608890485,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,34.3,,,,,,,27.91836734693877,0.6682215743440233,0.696,,,,,,,,1.0,0,0,,0,,,,,6-2,195.0,,,,nba_api,,Guard,USA,Providence/USA,22,https://www.nba.com/stats/player/1642269,https://www.nba.com/stats/player/1642269,https://www.google.com/search?q=%22Devin+Carter%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1642269,,https://www.google.com/search?q=%22Devin+Carter%22+%22G+League%22+official+basketball+stats,Devin Carter G League basketball highlights,https://www.youtube.com/results?search_query=Devin+Carter+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Devin+Carter+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Devin+Carter+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1642269.0,2002-03-18T00:00:00,Providence,1.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:00.928714+00:00
16,David Jones Garcia,davidjonesgarcia,2024-2025,G League,MXC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.4019536087527549,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,32.8,,,,,,,26.890243902439025,0.6814634146341464,0.626,,,,,,,,1.0,0,0,,0,,,,,6-4,210.0,,,,nba_api,,Guard,Dominican Republic,Memphis/Dominican Republic,22,https://www.nba.com/stats/player/1642357,https://www.nba.com/stats/player/1642357,https://www.google.com/search?q=%22David+Jones+Garcia%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1642357,,https://www.google.com/search?q=%22David+Jones+Garcia%22+%22G+League%22+official+basketball+stats,David Jones Garcia G League basketball highlights,https://www.youtube.com/results?search_query=David+Jones+Garcia+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=David+Jones+Garcia+G+League+basketball+highlights,https://www.youtube.com/results?search_query=David+Jones+Garcia+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,1642357.0,2001-11-24T00:00:00,Memphis,0.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:01.757354+00:00
17,JD Davison,jddavison,2024-2025,G League,MNE,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.3942265595102443,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,34.5,,,,,,,26.191304347826083,0.7118840579710144,0.599,,,,,,,,1.0,0,0,,1,4.423862487360964,0.0659538254128749,0.0539999999999999,0.1000000000000014,6-1,195.0,,,,nba_api,,Guard,USA,Alabama/USA,21,https://www.nba.com/stats/player/1631120,https://www.nba.com/stats/player/1631120,https://www.google.com/search?q=%22JD+Davison%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1631120,,https://www.google.com/search?q=%22JD+Davison%22+%22G+League%22+official+basketball+stats,JD Davison G League basketball highlights,https://www.youtube.com/results?search_query=JD+Davison+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=JD+Davison+G+League+basketball+highlights,https://www.youtube.com/results?search_query=JD+Davison+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2022-2023,gleague_nba_api,G League,1631120.0,2002-10-03T00:00:00,Alabama,3.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:02.601028+00:00
18,Nick Smith Jr.,nicksmith,2024-2025,G League,GBO,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.3926813097305488,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,31.5,,,,,,,27.77142857142857,0.6586666666666667,0.638,,,,,,,,1.0,0,0,,1,5.81248428990364,-0.0202776148582599,0.121,-2.6000000000000014,6-2,185.0,,,,nba_api,,Guard,USA,Arkansas/USA,20,https://www.nba.com/stats/player/1641733,https://www.nba.com/stats/player/1641733,https://www.google.com/search?q=%22Nick+Smith+Jr.%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641733,,https://www.google.com/search?q=%22Nick+Smith+Jr.%22+%22G+League%22+official+basketball+stats,Nick Smith Jr. G League basketball highlights,https://www.youtube.com/results?search_query=Nick+Smith+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Nick+Smith+Jr.+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Nick+Smith+Jr.+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2018 - 2019,kaggle_49leagues,Czech-NBL,1641733.0,2004-04-18T00:00:00,Arkansas,2.0,Active,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:03.451066+00:00
19,Duop Reath,duopreath,2024-2025,G League,RCR,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.3923822174802971,Returning-import candidate with prior CBA experience and strong source-league/pathway signal.,,,32.8,,,,,,,28.53658536585366,0.8176829268292684,0.535,,,,,,,,1.0,1,1,2.0,1,15.565305992485513,0.5009074699102083,-0.0759999999999999,19.47826086956521,6-9,245.0,,,,nba_api,,Center,South Sudan,Louisiana State/South Sudan,28,https://www.nba.com/stats/player/1641871,https://www.nba.com/stats/player/1641871,https://www.google.com/search?q=%22Duop+Reath%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1641871,,https://www.google.com/search?q=%22Duop+Reath%22+%22G+League%22+official+basketball+stats,Duop Reath G League basketball highlights,https://www.youtube.com/results?search_query=Duop+Reath+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Duop+Reath+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Duop+Reath+G+League+basketball+highlights,Duop Reath CBA basketball highlights,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2020-2021,euroleague_api,EuroLeague,1641871.0,1996-06-26T00:00:00,Louisiana State,2.0,Inactive,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:04.306550+00:00
20,Kevin Knox II,kevinknox,2024-2025,G League,SCW,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.383293654886888,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,33.7,,,,,,,27.026706231454007,0.6404747774480712,0.671,,,,,,,,1.0,0,0,,1,2.446645808493283,-0.030220086600267,0.097,0.6000000000000014,6-8,215.0,,,,nba_api,,Forward,USA,Kentucky/USA,25,https://www.nba.com/stats/player/1628995,https://www.nba.com/stats/player/1628995,https://www.google.com/search?q=%22Kevin+Knox+II%22+%22G+League%22+official+basketball+stats,https://www.nba.com/stats/player/1628995,,https://www.google.com/search?q=%22Kevin+Knox+II%22+%22G+League%22+official+basketball+stats,Kevin Knox II G League basketball highlights,https://www.youtube.com/results?search_query=Kevin+Knox+II+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Kevin+Knox+II+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Kevin+Knox+II+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2023-2024,gleague_nba_api,G League,1628995.0,1999-08-11T00:00:00,Kentucky,8.0,Inactive,high,exact_player_name_key_unique,commonplayerinfo_success,2026-06-03T12:34:05.185397+00:00
21,Dre'Shawn Allen,dreshawnallen,2024-2025,G League,MCC,gleague_nba_api,gleague_nba_api,common CBA source league pool + rule-based baseline,1.377822169018859,High-ranked candidate from a common CBA source league with strong usage/scoring profile.,,,14.6,,,,,,,29.58904109589041,0.7150684931506849,0.711,,,,,,,,1.0,0,0,,0,,,,,,,,,,nba_api,,,,,,,,https://www.google.com/search?q=site%3Anba.com%2Fstats+%22Dre%27Shawn+Allen%22+basketball,,,https://www.google.com/search?q=site%3Anba.com%2Fstats+%22Dre%27Shawn+Allen%22+basketball,Dre'Shawn Allen G League basketball highlights,https://www.youtube.com/results?search_query=Dre%27Shawn+Allen+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Dre%27Shawn+Allen+G+League+basketball+highlights,https://www.youtube.com/results?search_query=Dre%27Shawn+Allen+G+League+basketball+highlights,,True,latest_season_only,E:\Project cba\data\reports\context_feature_topk_predictions.csv,2024-2025,gleague_nba_api,G League,,,,,,none,nba_static_players_name_key,no_confident_unique_match,2026-06-03T12:34:06.021190+00:00
